 2019/04/11-13:55	 1694.30	 1705.56	 1694.14	 1704.02	         237281	           	       0.00	  237281.00	  176988.80	  157745.41	      -3.67	      -4.99	       2.63	
 2019/04/11-14:00	 1704.01	 1704.42	 1700.71	 1700.71	         182038	           	       0.00	  182038.00	  187180.20	  163025.30	      -3.14	      -4.62	       2.95	
 2019/04/11-14:05	 1701.04	 1702.73	 1700.53	 1701.50	         146472	           	       0.00	  146472.00	  187286.59	  164539.41	      -2.63	      -4.22	       3.19	
 2019/04/11-14:10	 1701.67	 1708.55	 1701.08	 1708.55	         196618	           	       0.00	  196618.00	  188287.59	  169011.59	      -1.63	      -3.70	       4.14	
 2019/04/11-14:15	 1708.36	 1710.32	 1708.25	 1709.06	         190887	           	       0.00	  190887.00	  190659.20	  174929.09	      -0.80	      -3.12	       4.65	
 2019/04/11-14:20	 1708.98	 1709.24	 1706.63	 1706.75	         170770	           	       0.00	  170770.00	  177357.00	  177172.91	      -0.31	      -2.56	       4.49	
 2019/04/11-14:25	 1707.22	 1707.22	 1703.50	 1703.50	         168358	           	       0.00	  168358.00	  174621.00	  180900.59	      -0.19	      -2.09	       3.79	
 2019/04/11-14:30	 1703.40	 1707.38	 1702.62	 1706.75	         161221	           	       0.00	  161221.00	  177570.80	  182428.70	       0.17	      -1.64	       3.60	
 2019/04/11-14:35	 1707.19	 1707.40	 1702.57	 1702.57	         170959	           	       0.00	  170959.00	  172439.00	  180363.30	       0.11	      -1.29	       2.79	
 2019/04/11-14:40	 1702.36	 1702.36	 1695.92	 1696.14	         259120	           	       0.00	  259120.00	  186085.59	  188372.41	      -0.45	      -1.12	       1.34	
 2019/04/11-14:45	 1696.06	 1696.11	 1690.27	 1691.23	         351281	           	       0.00	  351281.00	  222187.80	  199772.41	      -1.27	      -1.15	      -0.24	
 2019/04/11-14:50	 1691.42	 1696.39	 1691.33	 1694.70	         272020	           	       0.00	  272020.00	  242920.20	  208770.59	      -1.63	      -1.24	      -0.76	
 2019/04/11-14:55	 1694.65	 1694.82	 1692.28	 1692.28	         330013	           	       0.00	  330013.00	  276678.59	  227124.70	      -2.08	      -1.41	      -1.33	
 2019/04/11-15:00	 1692.62	 1692.62	 1691.10	 1691.10	         365252	           	       0.00	  365252.00	  315537.19	  243988.09	      -2.50	      -1.63	      -1.74	
 2019/04/12-09:35	 1692.43	 1695.59	 1684.63	 1690.90	         790535	           	       0.00	  790535.00	  421820.19	  303952.91	      -2.82	      -1.87	      -1.91	
